Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-fhir.example.json	2862	-	0	0	0	0	0	0	9	126	0	0	0	0	0	0	0	0	0	0	94	112	0	0	0	2	0	0
fsh-generated/resources/CodeSystem-ExampleCompositionSectionsCS.json	596	18	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	24	1048	0	0	0	0	0	0
fsh-generated/resources/Composition-ExampleComposition1.json	1452	15	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	26	40	0	0	1	0	0	0
fsh-generated/resources/Composition-ExampleComposition2.json	1452	15	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	19	29	0	0	0	0	0	0
fsh-generated/resources/Composition-ExampleComposition3.json	1452	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	19	28	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	249	17	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	23	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ExampleComposition.json	2611	15	0	155	0	0	0	0	1	127	0	0	1	0	0	0	0	2	0	0	816	2480	0	1	0	16	1	2
fsh-generated/resources/StructureDefinition-MyPatient.json	597	18	0	66	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	298	609	0	0	0	5	0	1
fsh-generated/resources/ValueSet-ExampleCompositionSectionsVS.json	443	22	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	23	133	0	0	0	1	0	0
\fsh-generated\includes\fsh-link-references.md	491	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\fsh-generated\includes\menu.xml	1061	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
\input\pagecontent\index.md	79	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\template\config\_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
\temp\pages\_includes\artifacts.xml	4843	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
